topic,title,description,publishedAt,source,url,sentiment
sports,Carlos Alcaraz withdraws from Madrid Open due to adductor injury sustained in Barcelona final defeat,"World No 3 sustained adductor injury last Sunday in his straight-sets defeat in Barcelona Open final; watch the Madrid Open on Sky Sports Tennis and Sky Sports+ until May 4 with Novak Djokovic, Emma Raducanu, Jack Draper and Iga Swiatek among host of big names in action",2025-04-24T11:02:00Z,Sky Sports,https://www.skysports.com/tennis/news/12110/13354727/carlos-alcaraz-withdraws-from-madrid-open-due-to-adductor-injury-sustained-in-barcelona-final-defeat,negative
sports,Chris Eubank Jr vs Conor Benn: The WBC backs winner to get chance to fight Canelo Alvarez,"Chris Eubank Jr will fight Conor Benn in a Ring Magazine event at the Tottenham Hotspur Stadium on Saturday, live on Sky Sports Box Office; WBC president Mauricio Sulaiman believes the winner of the fight will merit an eventual shot at Canelo Alvarez",2025-04-24T10:56:00Z,Sky Sports,https://www.skysports.com/boxing/news/12183/13354758/chris-eubank-jr-vs-conor-benn-the-wbc-backs-winner-to-get-chance-to-fight-canelo-alvarez,positive
sports,Conor Coady interview: Leicester defender devastated by relegation | Club pay price for not sticking with identity,"In this exclusive interview with Sky Sports, Leicester defender Conor Coady outlines the reasons for the clubs relegation. While admitting the players were not good enough, he believes the gap to the Premier League can be bridged – if teams stick to their identity",2025-04-24T10:24:00Z,Sky Sports,https://www.skysports.com/football/news/11712/13353162/conor-coady-interview-leicester-defender-devastated-by-relegation-club-pay-price-for-not-sticking-with-identity,negative
sports,"NFL Draft 2025 storylines: Ashton Jeanty's Saquon Barkley effect, Travis Hunter stardom and Shedeur Sanders intrigue","Sky Sports NFL presenter Neil Reynolds breaks down his top storylines heading into day one of the 2025 Draft in Green Bay, including the quarterbacks up for grabs and two-way star Travis Hunter; watch all three days of the Draft live on Sky Sports from Thursday April 24-Saturday April 26",2025-04-24T08:27:00Z,Sky Sports,https://www.skysports.com/nfl/news/12118/13354655/nfl-draft-2025-storylines-ashton-jeantys-saquon-barkley-effect-travis-hunter-stardom-and-shedeur-sanders-intrigue,positive
sports,Bo Henriksen interview: Mainz coach who is out to surpass Jurgen Klopp and Thomas Tuchel is a Kidderminster Harriers legend,"Meet Bo Henriksen, the former Kidderminster striker who saved Mainz and now has them dreaming of Champions League football; in this exclusive interview with Sky Sports, he talks to Adam Bate about memories of England and the story of Mainzs transformation",2025-04-24T07:38:00Z,Sky Sports,https://www.skysports.com/football/news/11095/13353169/bo-henriksen-interview-mainz-coach-who-is-out-to-surpass-jurgen-klopp-and-thomas-tuchel-is-a-kidderminster-harriers-legend,positive
sports,Snooker fans stunned by John Higgins' outfit as TNT Sports divides opinion with choice of World Championship pundits,JOHN HIGGINS left snooker fans stunned with his outfit choice during an appearance on TNT Sports.The world No.8 was on the broadcaster during the Worl,2025-04-24T06:19:23Z,The Irish Sun,https://www.thesun.ie/sport/15098684/john-higgins-snooker-world-championship-outfit-stone-island/,positive
sports,Lando Norris: Former F1 world champion Sebastian Vettel says McLaren driver deserves praise for 'courageous' openness,"Self-doubt is the most natural thing there is, but its the most unnatural thing to talk about, and that is wrong, says Sebastian Vettel as he commends Lando Norris open approach to his feelings; watch the Miami GP Sprint weekend live on Sky Sports F1 from May 2-4",2025-04-24T05:29:00Z,Sky Sports,https://www.skysports.com/f1/news/12433/13350582/lando-norris-former-f1-world-champion-sebastian-vettel-says-mclaren-driver-deserves-praise-for-courageous-openness,positive
sports,Amazon Fire TV Stick owners warned 'if you carry on you will be arrested',"The number of people streaming Sky Sports and other premium TV via knock-off boxes has gone ""through the roof"".",2025-04-24T05:20:44Z,Birmingham Live,https://www.birminghammail.co.uk/news/showbiz-tv/amazon-fire-tv-stick-owners-31498729,negative
sports,Bouncer Sports Centre: Beloved indoor sports centre in Perth’s northern suburbs to close after 30 years,The announcement has shocked the local sporting community in the northern suburbs.,2025-04-24T04:48:01Z,PerthNow,https://www.perthnow.com.au/local-news/perthnow-joondalup/bouncer-sports-centre-beloved-indoor-sports-centre-in-perths-northern-suburbs-to-close-after-30-years-c-18472018,positive
sports,Judge delays $2.8 billion NCAA settlement to address roster limit concerns. Attorneys warn of chaos,"The judge overseeing the rewriting of the college sports rulebook threw a potentially deal-wrecking roadblock into the mix Wednesday, insisting parties in the $2.8 billion antitrust lawsuit redo the part",2025-04-23T23:04:22Z,Toronto Star,https://www.thestar.com/news/world/united-states/judge-delays-2-8-billion-ncaa-settlement-to-address-roster-limit-concerns-attorneys-warn-of/article_1d421a54-dcc1-566a-921e-40f5b2470b08.html,negative
business,'I run my own business chaperoning dogs at weddings,Dog-mad Rebecca McBride dropped out of a PhD and started her business - and has not looked back,2025-04-24T10:05:48Z,Devon Live,https://www.devonlive.com/news/real-life/i-run-business-chaperoning-dogs-10129376,neutral
business,US trade war fears drive UK consumer confidence down to record low; Tesla’s European sales fall again - business live,Rolling coverage of the latest economic and financial news,2025-04-24T09:43:47Z,The Guardian,https://www.theguardian.com/business/live/2025/apr/24/us-trade-war-uk-growth-bank-of-england-governor-tesla-sales-business-live-news,negative
business,Microsoft says AI is paving the way for a whole new kind of business - but it might still take time,"Is your company a ""Frontier Firm"" thanks to AI?",2025-04-24T08:56:29Z,TechRadar,https://www.techradar.com/pro/microsoft-says-ai-is-paving-the-way-for-a-whole-new-kind-of-business-but-it-might-still-take-time,positive
business,How can we rebuild the Canadian economy? Business leaders say there are 4 priorities,"Once the election is over, Canada's new prime minister will have to move fast and pick priorities to strengthen the economy. The good news is both the Conservative and Liberal leaders agree on (most of) what needs to be done.",2025-04-24T08:00:00Z,CBC.ca,https://www.cbc.ca/news/business/armstrong-economy-election-four-things-1.7516454,positive
business,Intel staff face more uncertainty,"The best news, analysis and comment from The Irish Times business desk",2025-04-24T05:39:00Z,The Irish Times,https://www.irishtimes.com/business/2025/04/24/intel-staff-face-more-uncertainty/,positive
business,Alex Hartridge hasn't ruled out a permanent Exeter City return,"But he admits he also has unfinished business with his parent club, Wycombe Wanderers.",2025-04-24T04:47:00Z,Devon Live,https://www.devonlive.com/sport/football/football-news/alex-hartridge-hasnt-ruled-out-10128059,positive
business,Birmingham 'snubbed' in list of best areas to start a UK business,A Black Country city was included on a list naming the best areas to start a business in the country,2025-04-24T04:00:00Z,Birmingham Live,https://www.birminghammail.co.uk/news/midlands-news/birmingham-snubbed-list-best-areas-31492377,positive
business,CLOSER LOOK: Uncovering the true cost of a cyberattack,"Ransomware attacks are big business, but rarely does the public get an inside glimpse of just how costly they can be. One of our reporters peels back the curtain — with the help of FOI legislation",2025-04-23T23:00:00Z,BayToday,https://www.baytoday.ca/closer-look/closer-look-uncovering-the-true-cost-of-a-cyberattack-10561156,positive
world,'I really love it': Top chef picks favourite chain restaurant - and shares 'ultimate' late night cheap eat,"Chef Nima Safaei, owner at Soho's 40 Dean Street, reveals where he goes for a cheap meal in central London, his favourite city in the world to eat and more in Cheap Eats.",2025-04-24T10:34:00Z,Sky News,https://news.sky.com/story/i-really-love-it-top-chef-picks-favourite-chain-restaurant-and-shares-ultimate-late-night-cheap-eat-13354684,positive
world,Poilievre might be better off losing the election after all,"The world changed when Trump was re-elected, yet Poilievre failed to change along with it.",2025-04-24T10:00:00Z,Toronto Star,https://www.thestar.com/opinion/star-columnists/this-is-the-donald-trump-election-and-pierre-poilievre-might-be-better-off-losing-it/article_6ede9ff3-af78-4d10-8e51-ca7048d84a77.html,negative
world,BBC Race Across the World viewers say the same thing as 'unfair advantage' spotted,Race Across the World fans were thrilled as the new season started,2025-04-24T09:29:59Z,Liverpool Echo,https://www.liverpoolecho.co.uk/news/tv/bbc-race-across-world-viewers-31499766,positive
world,Deadly Victorian disease becoming antibiotic resistant as warning issued,"Typhoid fever is still a significant threat in some parts of the world, and becoming increasingly resistant to antibiotics, according to a new report",2025-04-24T09:25:35Z,Nottinghamshire Live,https://www.nottinghampost.com/news/health/deadly-victorian-disease-becoming-antibiotic-10129211,negative
world,What took so long for the Union Station plaza security fix?,The city’s approach to the Union Station revamp looks for all the world like that reno project at home you keep putting off for no good reason.,2025-04-24T09:00:00Z,Toronto Star,https://www.thestar.com/opinion/star-columnists/toronto-finally-made-some-progress-on-a-long-promised-reno-to-an-historic-location-what/article_4e03288d-f610-42a8-a248-d6adc92fee48.html,positive
world,The secret to Race Across The World’s success? It's pure joy,"The show, which is just starting a fifth season, is one of the most watched programmes on TV right now, and for good reason",2025-04-24T08:10:47Z,Evening Standard,https://www.standard.co.uk/culture/tvfilm/race-across-the-world-bbc-success-travel-show-b1183209.html,positive
world,Who are Canada's cardinals? A look at the five dignitaries ahead of the papal funeral,Cardinals from around the world are converging on Rome for the funeral of Pope Francis and upcoming meetings that will determine the next leader of the Catholic Church. A three-day public viewing is underway at St.,2025-04-24T08:00:45Z,GuelphToday,https://www.guelphtoday.com/national-news/who-are-canadas-cardinals-a-look-at-the-five-dignitaries-ahead-of-the-papal-funeral-10563493,negative
