topic,title,description,publishedAt,source,url
politics,Reeves hints at priority as she says ‘trading relationship with Europe arguably more important’ than US - UK politics live,"Chancellor said she understood the focus on possible deal with US, but added the EU remained ‘our nearest neighbours and trading partners’",2025-04-25T09:54:29Z,The Guardian,https://www.theguardian.com/politics/live/2025/apr/25/uk-politics-latest-news-rachel-reeves-labour-conservatives-keir-starmer
politics,"Language, politics, power: What is AI’s mother tongue?","The same system that promises to equip people with fluent language can double as a gatekeeper, tying good writing to invisible codes of class, caste, and privilege. In doing so, it erases the scope for language to become a currency of opportunity",2025-04-25T07:29:37Z,The Indian Express,https://indianexpress.com/article/opinion/columns/language-politics-power-what-is-ais-mother-tongue-9965073/
politics,Will there be a teacher’s strike in the autumn?,Inside Politics podcast with Hugh Linehan,2025-04-25T05:30:00Z,The Irish Times,https://www.irishtimes.com/podcasts/inside-politics/will-there-be-a-teachers-strike-in-the-autumn/
politics,We obsess over the angry young men going Reform. But what of the anxious young women going Green?,"Desire for a politics that cares about global and local injustice is sharpening the political gender divide, says Guardian columnist Gaby Hinsliff",2025-04-25T05:00:24Z,The Guardian,https://www.theguardian.com/commentisfree/2025/apr/25/young-men-reform-women-green-voters
politics,Trump news at a glance: president berates Putin; judge blocks changes to voting rights,"US renews push to end Ukraine war, reportedly on terms favourable to Russia – key US politics stories from 24 April",2025-04-25T01:22:45Z,The Guardian,https://www.theguardian.com/us-news/2025/apr/25/trump-administration-news-updates-today
politics,Politics Insider: Carney says Trump made 51st state comment in March phone call,"The Liberal leader confirmed a report that the President repeated his comment about making Canada a U.S. state, which wasn’t mentioned in the original readout",2025-04-24T21:45:44Z,The Globe and Mail,https://www.theglobeandmail.com/politics/article-politics-insider-carney-says-trump-made-51st-state-comment-in-march/
politics,Politics latest: Should 'headphone dodgers' be fined?,"The Liberal Democrats have put forward a policy idea to fine people £1,000 for playing music out loud on public transport. The government suggests it's open to the idea - and we asked for your thoughts.",2025-04-24T20:45:00Z,Sky News,https://news.sky.com/story/politics-latest-should-headphone-dodgers-be-fined-12593360
politics,Politics latest: PM revives Brexit slogan - and embraces EU chief ahead of talks,"Keir Starmer has addressed an energy security summit in London, reaffirming his commitment to clean power as the best way to reduce reliance on other countries and lower household bills.",2025-04-24T16:01:00Z,Sky News,https://news.sky.com/story/politics-latest-pm-revives-brexit-slogan-and-embraces-eu-chief-ahead-of-talks-12593360
politics,Politics latest: PM revives Brexit slogan - as government considers 'postcode pricing' for energy bills,"Keir Starmer has addressed an energy security summit in London, reaffirming his commitment to clean power as the best way to reduce reliance on other countries and lower household bills.",2025-04-24T14:51:00Z,Sky News,https://news.sky.com/story/politics-latest-pm-revives-brexit-slogan-as-government-considers-postcode-pricing-for-energy-bills-12593360
sports,"Quinns Rocks Sports Club: Friends, families and veterans joined together by community spirit, beer, and Two-up","Quinns Rocks Sports Club was alight with energy, smiles, and laughter on Friday afternoon as the community joined together for a beer, Two-up, and Anzac Day commemorations.",2025-04-25T09:49:53Z,PerthNow,https://www.perthnow.com.au/news/anzac/quinns-rocks-sports-club-friends-families-and-veterans-joined-together-by-community-spirit-beer-and-two-up-c-18483392
sports,Man's wife bursts into tears as he's jailed for vile actions in sports centre,Richard Halck took covert videos of women as they undressed,2025-04-25T09:40:27Z,Manchester Evening News,https://www.manchestereveningnews.co.uk/news/uk-news/tried-chat-up-number-arrested-31507567
sports,Women's Champions League: Chelsea and Arsenal need to make history to turn around semi-final ties - Reporter Notebook,"Chelsea and Arsenal need to make history to turn around Womens Champions League ties, Sky Sports News Anton Toloui writes in his latest Reporter Notebook; Chelsea were beaten 4-1 by Barcelona in their first leg; Arsenal trail 2-1 against Lyon; second legs will both be played on Sunday",2025-04-25T09:18:00Z,Sky Sports,https://www.skysports.com/football/news/35732/13353063/womens-champions-league-chelsea-and-arsenal-need-to-make-history-to-turn-around-semi-final-ties-reporter-notebook
sports,"Premier League & FA Cup Predictions, odds and best bets: Liverpool's title party to be a goals-fest as Jones Knows tips up 6/1 treble","Watch Bournemouth vs Manchester United & Liverpool vs Tottenham live on Sky Sports | Play Super 6 to win £250,000 - deadline at 3pm on Saturday",2025-04-25T08:16:00Z,Sky Sports,https://www.skysports.com/football/news/11661/13354980/premier-league-fa-cup-predictions-odds-and-best-bets-liverpools-title-party-to-be-a-goals-fest-as-jones-knows-tips-up-6-1-treble
sports,Hollie Doyle's exclusive blog: Eternal Elixir can give me another Group success in Germany,Sky Sports Racing ambassador Hollie Doyle looks ahead to her weekend rides in her latest exclusive blog; the jockey heads to Germany and Wolverhampton - where she rides an intriguing runner for Archie Watson and Wathnan Racing,2025-04-25T07:22:00Z,Sky Sports,https://www.skysports.com/racing/news/37685/13355005/hollie-doyles-exclusive-blog-eternal-elixir-can-give-me-another-group-success-in-germany
sports,"Novak Djokovic: My priority working with coach Andy Murray is to peak for French Open, Wimbledon","World No 5 Novak Djokovic chats to Sky Sports in Spain ahead of the Madrid Open, touching on his aims for 2025 and his coaching relationship with Andy Murray; watch all the action from the ATP and WTA Tours on Sky Sports Tennis and Sky Sports+, NOW and the Sky Sports app",2025-04-25T07:17:00Z,Sky Sports,https://www.skysports.com/tennis/news/12110/13355207/novak-djokovic-my-priority-working-with-coach-andy-murray-is-to-peak-for-french-open-wimbledon
sports,Kevin De Bruyne: How do Manchester City and Pep Guardiola replace departing midfielder?,Kevin De Bruyne leaving Manchester City at the end of season; Sky Sports looks at how Pep Guardiolas side can replace the outgoing influential midfielder; could Phil Foden or Omar Marmoush step up? Or will City make a new signing following links to Florian Wirtz and Xavi Simons?,2025-04-25T06:59:00Z,Sky Sports,https://www.skysports.com/football/news/12028/13354382/kevin-de-bruyne-how-do-manchester-city-and-pep-guardiola-replace-departing-midfielder
sports,Chevron Championship: World No 1 Nelly Korda makes dismal start to title defence to sit 12 shots back,"The USAs Nelly Korda registers opening-round 77 at The Chevron Championship in defence of her title; at five over, Korda sits 12 shots behind leaders Haeran Ryu of South Korea and Yan Liu of China; watch day two on Friday from 4pm on Sky Sports Golf; get Sky Sports or stream with NOW.",2025-04-25T06:23:00Z,Sky Sports,https://www.skysports.com/golf/news/12176/13354952/chevron-championship-world-no-1-nelly-korda-makes-dismal-start-to-title-defence-to-sit-12-shots-back
sports,NFL Draft 2025: Tennessee Titans select Cam Ward with first pick as Travis Hunter heads to Jacksonville Jaguars,"Opening day of 2025 NFL Draft top three picks: 1 Tennessee Titans - QB Cam Ward, 2 Jacksonville Jaguars (from Browns) - CB/WR Travis Hunter, 3 New York Giants - Edge Abdul Carter; watch day two of NFL Draft live on Sky Sports Action from midnight; day three begins at 5pm on Saturday",2025-04-25T05:48:00Z,Sky Sports,https://www.skysports.com/nfl/news/12118/13355067/nfl-draft-2025-tennessee-titans-select-cam-ward-with-first-pick-as-travis-hunter-heads-to-jacksonville-jaguars
business,Brothers with business empire of 33 shops started it all from sleepy little village,The new store will be the ninth for the North West independent coffee shop business The Coffee House,2025-04-25T09:52:02Z,Liverpool Echo,https://www.liverpoolecho.co.uk/whats-on/whats-on-news/brothers-business-empire-33-shops-31507886
business,Why did a judge order Air Canada to pay passengers more than $10-million? Take our business and investing news quiz for the week ending April 25,Take our business and investing news quiz to test your recall of the top stories of the week ending April 25,2025-04-25T09:30:00Z,The Globe and Mail,https://www.theglobeandmail.com/business/article-air-canada-lawsuit-elon-musk-tesla-business-quiz-april-25/
business,"Over third of women entrepreneurs face gender discrimination, a new study claims","According to data from a new study, of amongst 500 women small business owners, 35% faced gender bias in the workplace",2025-04-25T08:46:03Z,Birmingham Live,https://www.birminghammail.co.uk/news/money/over-third-women-entrepreneurs-face-31507287
business,AFL Collingwood v Essendon Anzac Day match: Jamie Elliott kicks five goals as Magpies defeat the Bombers,"The Bombers showed some resistance, but Collingwood wrestled back control to show the league they mean business with an emphatic Anzac Day win.",2025-04-25T08:02:56Z,PerthNow,https://www.perthnow.com.au/sport/afl/afl-collingwood-v-essendon-anzac-day-match-jamie-elliott-kicks-five-goals-as-magpies-defeat-the-bombers--c-18485382
business,Google owner sales exceed estimates on ad business,Shares rise after strong earnings,2025-04-25T07:15:00Z,The Irish Times,https://www.irishtimes.com/business/2025/04/25/google-owner-sales-exceed-estimates-on-ad-business/
business,China ‘may exempt some US goods’ from tariffs; British retail sales beat forecasts - business live,Rolling coverage of the latest economic and financial news,2025-04-25T06:34:09Z,The Guardian,https://www.theguardian.com/business/live/2025/apr/25/china-may-exempt-some-us-goods-tariffs-markets-imf-donald-trump-apple-iphone-business-live-news
business,Why everyone’s talking about this $1.7M business empowering women: 28-day metabolism program,"It’s designed to boost energy, rebalance hormones and feel in control again.",2025-04-25T06:02:48Z,7NEWS.com.au,https://7news.com.au/best-picks/why-everyones-talking-about-this-17m-business-empowering-women-28-day-metabolism-program-c-18483625
business,UK tourists issued 'all future holidays cancelled' warning over six European countries,Balkan Holidays has announced that it had ceased trading as of this week (April 24) - after nearly 60 years in the business.,2025-04-25T05:04:20Z,Birmingham Live,https://www.birminghammail.co.uk/travel/uk-tourists-issued-all-future-31506326
business,Galway v Drogheda: Andrew Quinn says Boynesiders are all business at the League summit,"Maynooth final year business student Andrew Quinn, a goalscorer in last year's FAI Cup final victory, is excited about seeing where the game takes him when his studies finish",2025-04-25T05:00:00Z,Irish Mirror,https://www.irishmirror.ie/sport/soccer/galway-v-drogheda-andrew-quinn-35114813
business,Food Review Club man Matt admits he would post about food he 'wouldn't usually eat' in exchange for money,"In a recording of a conversation with a Cornwall business, Matthew Davies-Binge, of Food Review Club, said he would only eat 'that sort of stuff' if paid to do it on camera in an 'advert'",2025-04-25T05:00:00Z,Cornwall Live,https://www.cornwalllive.com/news/cornwall-news/food-review-club-man-matt-10129949
world,World Snooker Championship: Mark Allen fires maximum 147 break at Crucible,"Mark Allen fires a maximum 147 break in the 13th frame of his second round
match against Chris Wakelin at the World Snooker Championship in Sheffield",2025-04-25T11:11:00Z,Sky Sports,https://www.skysports.com/more-sports/snooker/news/12243/13355336/world-snooker-championship-mark-allen-fires-maximum-147-break-at-crucible
world,China exempts some goods from U.S. tariffs to limit trade war pain,"The dispensation signals that the world’s two largest economies were prepared to rein in their conflict, which had frozen much of the trade between them, raising fears of a global recession",2025-04-25T11:04:55Z,The Globe and Mail,https://www.theglobeandmail.com/business/international-business/article-china-exempts-some-goods-from-us-tariffs-to-limit-trade-war-pain/
world,"China, sex toy exporter to the world, now has a booming domestic market, too",Sales of sex toys for women have almost tripled in the past decade,2025-04-25T11:00:00Z,The Globe and Mail,https://www.theglobeandmail.com/world/article-china-sex-toys-market-export-growing/
world,World Snooker Championship: Barry Hearn warns tournament could leave Crucible after 2027,"Barry Hearn has called on Sheffield city council to expand the Crucible from its 980-capacity or face losing the World Snooker Championship after 2027; The 2025 World Snooker Championship runs until Monday, May 5",2025-04-25T10:59:00Z,Sky Sports,https://www.skysports.com/more-sports/snooker/news/12243/13355323/world-snooker-championship-barry-hearn-warns-tournament-could-leave-crucible-after-2027
world,Funding Shortfall Threatens WFP's Mission in Sudan Amid Escalating Crisis,"The World Food Programme (WFP) faces a significant funding shortfall, threatening aid for 7 million Sudanese amid escalating conflict. Reduced rations and funding cuts coincide with the hunger and rainy seasons, exacerbating the crisis for displaced populations, including those from the Zamzam camp in North Darfur.",2025-04-25T10:23:49Z,Devdiscourse,https://www.devdiscourse.com/article/headlines/3358893-funding-shortfall-threatens-wfps-mission-in-sudan-amid-escalating-crisis
world,"Peterman, Gallant aim to secure Olympic spot at world mixed doubles curling playdowns",Curlers Brett Gallant and Jocelyn Peterman have already earned the right to wear the Maple Leaf should Canada qualify for mixed doubles at the Winter Olympics. Now the husband-and-wife duo just has to go out and secure the country's berth.,2025-04-25T10:00:07Z,ElliotLakeToday.com,https://www.elliotlaketoday.com/national-sports/peterman-gallant-aim-to-secure-olympic-spot-at-world-mixed-doubles-curling-playdowns-10569425
